iteration,instance_start0,instance_started0,delta0
1,1654207745,1654207762,16.484999999999999
2,1654206032,1654206048,16.510999999999999
3,1654209458,1654209474,16.565000000000001
4,1654210028,1654210045,16.302
5,1654209172,1654209188,16.452000000000002
6,1654207460,1654207476,16.257999999999999
7,1654206603,1654206619,16.186
8,1654208030,1654208046,16.219000000000001
9,1654207174,1654207191,16.393999999999998
10,1654206317,1654206334,16.518000000000001
11,1654208601,1654208617,16.329999999999998
12,1654209743,1654209759,16.428000000000001
13,1654212027,1654212044,16.343
14,1654205746,1654205763,16.550999999999998
15,1654210314,1654210330,16.265000000000001
16,1654211742,1654211758,16.280999999999999
17,1654208315,1654208332,16.231000000000002
18,1654210885,1654210902,16.518000000000001
19,1654211171,1654211188,16.413
20,1654210600,1654210616,16.596
21,1654206888,1654206904,16.175999999999998
22,1654208886,1654208903,16.536999999999999
23,1654211456,1654211473,16.399999999999999
,,,
,,,16.389521739130434
,,,0.027525401101371326
