iteration,instance_start0,instance_started0,delta0
1,1653955494,1653955798,304.57499999999999
2,1653952049,1653952348,299.71800000000002
3,1653958902,1653959187,284.97699999999998
4,1653960009,1653960311,302.166
5,1653958338,1653958634,295.36000000000001
6,1653954899,1653955227,327.851
7,1653953187,1653953483,296.649
8,1653956068,1653956367,299.35199999999998
9,1653954320,1653954629,309.44400000000002
10,1653952618,1653952920,301.65699999999998
11,1653957221,1653957516,294.959
12,1653959450,1653959743,292.30900000000003
13,1653963942,1653964214,271.56400000000002
14,1653951478,1653951778,299.298
15,1653960578,1653960877,298.76100000000002
16,1653963394,1653963675,280.803
17,1653956637,1653956952,315.17599999999999
18,1653961700,1653961995,295.12799999999999
19,1653962263,1653962561,298.21699999999998
20,1653961141,1653961432,291.46199999999999
21,1653953751,1653954045,294.91699999999997
22,1653957785,1653958069,284.27199999999999
23,1653962831,1653963124,292.97300000000001
,,,
,,,297.02556521739132
,,,2.3795606843902921
