iteration,instance_start0,instance_started0,delta0
1,1651546916.0220001,1651547561.401,645.37900000000002
2,1651603187.796,1651603796.914,609.11800000000005
3,1651412520.359,1651413111.2049999,590.846
4,1651523035.2260001,1651523639.2390001,604.01300000000003
5,1651597921.2390001,1651598531.556,610.31700000000001
6,1651405094.441,1651405715.3169999,620.87599999999998
7,1651549653.8299999,1651550257.786,603.95600000000002
8,1651460009.757,1651460659.3900001,649.63300000000004
9,1651555154.47,1651555749.7320001,595.26199999999994
10,1651557805.536,1651558404.073,598.53700000000003
11,1651515010.5469999,1651515600.029,589.48199999999997
12,1651560624.0380001,1651561215.9419999,591.904
,,,
,,,609.11025000000006
,,,5.818222830984122
