iteration,instance_start0,instance_started0,delta0
1,1651545397.721,1651545421.4690001,23.748000000000001
2,1651601563.5309999,1651601586.9389999,23.408000000000001
3,1651410743.948,1651410770.6830001,26.734999999999999
4,1651521364.78,1651521379.0639999,14.284000000000001
5,1651596337.585,1651596351.131,13.545999999999999
6,1651403357.175,1651403382.7420001,25.567
7,1651548041.928,1651548052.046,10.118
8,1651458530.4200001,1651458557.9260001,27.506
9,1651553554.7539999,1651553566.073,11.319000000000001
10,1651556379.72,1651556404.25,24.530000000000001
11,1651513354.1830001,1651513374.839,20.655999999999999
12,1651559037.651,1651559055.5250001,17.873999999999999
,,,
,,,19.940916666666666
,,,1.8072316786393987
