iteration,instance_start1,instance_started1,delta1
1,1651548068.5179999,1651548762.6099999,694.09199999999998
2,1651604299.513,1651604923.5350001,624.02200000000005
3,1651413553.0510001,1651414178.8080001,625.75699999999995
4,1651524095.5669999,1651524717.115,621.548
5,1651599046.2520001,1651599694.1289999,647.87699999999995
6,1651406160.5339999,1651406801.5220001,640.98800000000006
7,1651550760.402,1651551392.826,632.42399999999998
8,1651461166.177,1651461888.349,722.17200000000003
9,1651556259.615,1651556909.3,649.68499999999995
10,1651558912.302,1651559736.8789999,824.577
11,1651516091.0550001,1651516713.947,622.89200000000005
12,1651561749.6029999,1651562396.164,646.56100000000004
,,,
,,,662.71624999999983
,,,17.167424072196191
