iteration,instance_start0,instance_started0,delta0,delta1
1,1651546916,1651547561,645.379,575.11
2,1651603188,1651603797,609.118,578.36
3,1651412520,1651413111,590.846,584.82
4,1651523035,1651523639,604.013,562.08
5,1651597921,1651598532,610.317,589.61
6,1651405094,1651405715,620.876,599.71
7,1651549654,1651550258,603.956,573.41
8,1651460010,1651460659,649.633,570.71
9,1651555154,1651555750,595.262,562.68
10,1651557806,1651558404,598.537,592.49
11,1651515011,1651515600,589.482,581.17
12,1651560624,1651561216,591.904,580.89
13,1660915983,1660916534,550.755,574.14
14,1660906701,1660907220,518.451,563.42
15,1660914737,1660915291,554.039,580.35
16,1660909151,1660909708,556.444,597.21
17,1660918459,1660919013,553.474,583.24
18,1660911636,1660912195,559.409,590.73
19,1660907915,1660908468,552.639,574.12
20,1660905466,1660906017,551.210,576.34
