k8s-osm-cluster-ns,mec-env-ns,osm-cluster-manual,mec-manual
645.379,694.092,575.11,572.39
609.118,624.022,578.36,568.46
590.846,625.757,584.82,589.81
604.013,621.548,562.08,567.27
610.317,647.877,589.61,574.88
620.876,640.988,599.71,574.43
603.956,632.424,573.41,571.83
649.633,722.172,570.71,566.77
595.262,649.685,562.68,562.92
598.537,824.577,592.49,566.93
589.482,622.892,581.17,555.3
591.904,646.561,580.89,573.05
550.755,676.135,574.14,559.77
518.451,627.311,563.42,561.73
554.039,499.759,580.35,566.27
556.444,637.285,597.21,592.33
553.474,613.791,583.24,565.75
559.409,647.689,590.73,568.23
552.639,670.708,574.12,573.99
551.210,607.105,576.34,578.48
