iteration,instance_start0,instance_started0,delta0
0,1663001103.394,1663001119.458,16.063999891281128
1,1663002488.412,1663002504.456,16.044000148773193
2,1663005310.87,1663005326.897,16.027000188827515
3,1663001975.37,1663001991.502,16.132000207901
4,1663002231.931,1663002247.99,16.05900001525879
5,1663003513.995,1663003530.271,16.276000022888184
6,1663003000.928,1663003016.9,15.972000122070312
7,1663001588.532,1663001604.519,15.986999988555908
8,1663004028.214,1663004044.25,16.03600001335144
9,1663002744.649,1663002760.544,15.894999980926514
10,1663003257.566,1663003273.635,16.069000005722046
11,1663005054.7,1663005070.712,16.01199984550476
12,1663004284.963,1663004300.919,15.955999851226807
13,1663003771.496,1663003787.288,15.79200005531311
14,1663004541.362,1663004557.457,16.09500002861023
15,1663004798.156,1663004814.113,15.957000017166138
16,1663005567.75,1663005583.624,15.874000072479248
