iteration,instance_start0,instance_started0,delta0
0,1663009319.456,1663009335.595,16.138999938964844
1,1663001103.394,1663001119.458,16.063999891281128
2,1663002488.412,1663002504.456,16.044000148773193
3,1663009832.172,1663009848.32,16.14800000190735
4,1663005310.87,1663005326.897,16.027000188827515
5,1663001975.37,1663001991.502,16.132000207901
6,1663007108.451,1663007124.434,15.983000040054321
7,1663006080.911,1663006097.074,16.162999868392944
8,1663002231.931,1663002247.99,16.05900001525879
9,1663008549.822,1663008565.87,16.0479998588562
10,1663007621.99,1663007637.966,15.9760000705719
11,1663005824.405,1663005840.577,16.17199993133545
12,1663010088.533,1663010104.662,16.128999948501587
13,1663003513.995,1663003530.271,16.276000022888184
14,1663003000.928,1663003016.9,15.972000122070312
15,1663001588.532,1663001604.519,15.986999988555908
16,1663004028.214,1663004044.25,16.03600001335144
17,1663008806.354,1663008822.28,15.925999879837036
18,1663006337.821,1663006353.869,16.0479998588562
19,1663002744.649,1663002760.544,15.894999980926514
20,1663006850.924,1663006867.087,16.162999868392944
21,1663003257.566,1663003273.635,16.069000005722046
22,1663009575.845,1663009592.065,16.22000002861023
23,1663005054.7,1663005070.712,16.01199984550476
24,1663004284.963,1663004300.919,15.955999851226807
25,1663003771.496,1663003787.288,15.79200005531311
26,1663009062.614,1663009078.651,16.036999940872192
27,1663007365.783,1663007381.711,15.92799997329712
28,1663004541.362,1663004557.457,16.09500002861023
29,1663004798.156,1663004814.113,15.957000017166138
30,1663005567.75,1663005583.624,15.874000072479248
31,1663006594.287,1663006610.278,15.991000175476074
