iteration,mep_initializaton,mec_app_ready,delta0,mec_app_service_creation,delta1,mec_app_subscriptions,delta2,mec_app_service_query,delta3
0,1651544992.664,1651545414.644,421.98,1651545414.851,422.187,1651545415.061,422.3970001,1651545415.198,422.5339999
1,1651601248.041,1651601581.267,333.2260001,1651601581.468,333.427,1651601581.668,333.6270001,1651601581.809,333.7680001
2,1651410484.752,1651410764.056,279.3039999,1651410764.257,279.5049999,1651410764.493,279.7409999,1651410764.627,279.875
3,1651521039.185,1651521378.296,339.1110001,1651521378.493,339.3080001,1651521378.696,339.5110002,1651521378.838,339.6530001
4,1651595985.015,1651596350.341,365.326,1651596350.543,365.5279999,1651596350.735,365.7199998,1651596350.876,365.8609998
5,1651403065.175,1651403376.033,310.858,1651403376.299,311.1240001,1651403376.537,311.362,1651403376.679,311.5039999
6,1651547727.452,1651548052.147,324.6950002,1651548052.351,324.8990002,1651548052.541,325.089,1651548052.674,325.2220001
7,1651458080.49,1651458551.7,471.21,1651458551.929,471.4389999,1651458552.165,471.675,1651458552.303,471.813
8,1651553209.713,1651553564.668,354.9549999,1651553564.884,355.171,1651553565.106,355.3929999,1651553565.242,355.529
9,1651555838.1,1651556398.107,560.0070002,1651556398.299,560.1990001,1651556398.486,560.3860002,1651556398.635,560.5350001
10,1651513031.188,1651513374.86,343.6719999,1651513375.054,343.8659999,1651513375.265,344.0770001,1651513375.406,344.2179999
11,1651558682.502,1651559055.365,372.8629999,1651559055.609,373.1069999,1651559055.808,373.306,1651559055.945,373.4429998
