iteration,mep_initializaton,mec_app_ready,mec_app_service_creation,mec_app_subscriptions,mec_app_service_query
0,1651544992.664,1651545414.644,1651545414.851,1651545415.061,1651545415.198
1,1651601248.041,1651601581.267,1651601581.468,1651601581.668,1651601581.809
2,1651410484.752,1651410764.056,1651410764.257,1651410764.493,1651410764.627
3,1651521039.185,1651521378.296,1651521378.493,1651521378.696,1651521378.838
4,1651595985.015,1651596350.341,1651596350.543,1651596350.735,1651596350.876
5,1651403065.175,1651403376.033,1651403376.299,1651403376.537,1651403376.679
6,1651547727.452,1651548052.147,1651548052.351,1651548052.541,1651548052.674
7,1651458080.49,1651458551.7,1651458551.929,1651458552.165,1651458552.303
8,1651553209.713,1651553564.668,1651553564.884,1651553565.106,1651553565.242
9,1651555838.1,1651556398.107,1651556398.299,1651556398.486,1651556398.635
10,1651513031.188,1651513374.86,1651513375.054,1651513375.265,1651513375.406
11,1651558682.502,1651559055.365,1651559055.609,1651559055.808,1651559055.945
