iteration,appName,initial,final,delta
0,grafana,1651548068,1651548509.0,441.0
0,kafka,1651548068,1651548408.0,340.0
0,keystone,1651548068,1651548183.0,115.0
0,lcm,1651548068,1651548640.0,572.0
0,mariadb,1651548068,1651548444.0,376.0
0,mon,1651548068,1651548480.0,412.0
0,mongodb,1651548068,1651548491.0,423.0
0,nbi,1651548068,1651548543.0,475.0
0,nbi-custom-operator,1651548068,1651548605.0,537.0
0,ng-ui,1651548068,1651548434.0,366.0
0,pla,1651548068,1651548476.0,408.0
0,pol,1651548068,1651548530.0,462.0
0,prometheus,1651548068,1651548285.0,217.0
0,ro,1651548068,1651548530.0,462.0
0,zookeeper,1651548068,1651548415.0,347.0
1,grafana,1651604299,1651604734.0,435.0
1,kafka,1651604299,1651604649.0,350.0
1,keystone,1651604299,1651604415.0,116.0
1,lcm,1651604299,1651604774.0,475.0
1,mariadb,1651604299,1651604681.0,382.0
1,mon,1651604299,1651604706.0,407.0
1,mongodb,1651604299,1651604686.0,387.0
1,nbi,1651604299,1651604742.0,443.0
1,nbi-custom-operator,1651604299,1651604801.0,502.0
1,ng-ui,1651604299,1651604709.0,410.0
1,pla,1651604299,1651604718.0,419.0
1,pol,1651604299,1651604715.0,416.0
1,prometheus,1651604299,1651604504.0,205.0
1,ro,1651604299,1651604721.0,422.0
1,zookeeper,1651604299,1651604643.0,344.0
2,grafana,1651413552,1651413994.0,442.0
2,kafka,1651413552,1651413868.0,316.0
2,keystone,1651413552,1651413900.0,348.0
2,lcm,1651413552,1651414000.0,448.0
2,mariadb,1651413552,1651413945.0,393.0
2,mon,1651413552,1651413925.0,373.0
2,mongodb,1651413552,1651413955.0,403.0
2,nbi,1651413552,1651414005.0,453.0
2,nbi-custom-operator,1651413552,1651414061.0,509.0
2,ng-ui,1651413552,1651413961.0,409.0
2,pla,1651413552,1651413977.0,425.0
2,pol,1651413552,1651413998.0,446.0
2,prometheus,1651413552,1651413754.0,202.0
2,ro,1651413552,1651414007.0,455.0
2,zookeeper,1651413552,1651413903.0,351.0
3,grafana,1651524095,1651524541.0,446.0
3,kafka,1651524095,1651524458.0,363.0
3,keystone,1651524095,1651524208.0,113.0
3,lcm,1651524095,1651524574.0,479.0
3,mariadb,1651524095,1651524491.0,396.0
3,mon,1651524095,1651524519.0,424.0
3,mongodb,1651524095,1651524537.0,442.0
3,nbi,1651524095,1651524594.0,499.0
3,nbi-custom-operator,1651524095,1651524599.0,504.0
3,ng-ui,1651524095,1651524550.0,455.0
3,pla,1651524095,1651524527.0,432.0
3,pol,1651524095,1651524573.0,478.0
3,prometheus,1651524095,1651524305.0,210.0
3,ro,1651524095,1651524588.0,493.0
3,zookeeper,1651524095,1651524229.0,134.0
4,grafana,1651599046,1651599496.0,450.0
4,kafka,1651599046,1651599393.0,347.0
4,keystone,1651599046,1651599170.0,124.0
4,lcm,1651599046,1651599516.0,470.0
4,mariadb,1651599046,1651599431.0,385.0
4,mon,1651599046,1651599459.0,413.0
4,mongodb,1651599046,1651599482.0,436.0
4,nbi,1651599046,1651599536.0,490.0
4,nbi-custom-operator,1651599046,1651599575.0,529.0
4,ng-ui,1651599046,1651599421.0,375.0
4,pla,1651599046,1651599468.0,422.0
4,pol,1651599046,1651599512.0,466.0
4,prometheus,1651599046,1651599260.0,214.0
4,ro,1651599046,1651599533.0,487.0
4,zookeeper,1651599046,1651599173.0,127.0
5,grafana,1651406160,1651406597.0,437.0
5,kafka,1651406160,1651406507.0,347.0
5,keystone,1651406160,1651406287.0,127.0
5,lcm,1651406160,1651406647.0,487.0
5,mariadb,1651406160,1651406541.0,381.0
5,mon,1651406160,1651406560.0,400.0
5,mongodb,1651406160,1651406382.0,222.0
5,nbi,1651406160,1651406601.0,441.0
5,nbi-custom-operator,1651406160,1651406678.0,518.0
5,ng-ui,1651406160,1651406569.0,409.0
5,pla,1651406160,1651406578.0,418.0
5,pol,1651406160,1651406531.0,371.0
5,prometheus,1651406160,1651406590.0,430.0
5,ro,1651406160,1651406590.0,430.0
5,zookeeper,1651406160,1651406288.0,128.0
6,grafana,1651550760,1651551209.0,449.0
6,kafka,1651550760,1651551114.0,354.0
6,keystone,1651550760,1651550876.0,116.0
6,lcm,1651550760,1651551230.0,470.0
6,mariadb,1651550760,1651551164.0,404.0
6,mon,1651550760,1651551179.0,419.0
6,mongodb,1651550760,1651551018.0,258.0
6,nbi,1651550760,1651551218.0,458.0
6,nbi-custom-operator,1651550760,1651551269.0,509.0
6,ng-ui,1651550760,1651551156.0,396.0
6,pla,1651550760,1651551199.0,439.0
6,pol,1651550760,1651551200.0,440.0
6,prometheus,1651550760,1651550961.0,201.0
6,ro,1651550760,1651551175.0,415.0
6,zookeeper,1651550760,1651551126.0,366.0
7,grafana,1651461166,1651461623.0,457.0
7,kafka,1651461166,1651461521.0,355.0
7,keystone,1651461166,1651461292.0,126.0
7,lcm,1651461166,1651461646.0,480.0
7,mariadb,1651461166,1651461555.0,389.0
7,mon,1651461166,1651461593.0,427.0
7,mongodb,1651461166,1651461386.0,220.0
7,nbi,1651461166,1651461632.0,466.0
7,nbi-custom-operator,1651461166,1651461689.0,523.0
7,ng-ui,1651461166,1651461588.0,422.0
7,pla,1651461166,1651461573.0,407.0
7,pol,1651461166,1651461553.0,387.0
7,prometheus,1651461166,1651461611.0,445.0
7,ro,1651461166,1651461590.0,424.0
7,zookeeper,1651461166,1651461301.0,135.0
8,grafana,1651556259,1651556695.0,436.0
8,kafka,1651556259,1651556598.0,339.0
8,keystone,1651556259,1651556377.0,118.0
8,lcm,1651556259,1651556787.0,528.0
8,mariadb,1651556259,1651556647.0,388.0
8,mon,1651556259,1651556650.0,391.0
8,mongodb,1651556259,1651556656.0,397.0
8,nbi,1651556259,1651556714.0,455.0
8,nbi-custom-operator,1651556259,1651556768.0,509.0
8,ng-ui,1651556259,1651556685.0,426.0
8,pla,1651556259,1651556631.0,372.0
8,pol,1651556259,1651556698.0,439.0
8,prometheus,1651556259,1651556466.0,207.0
8,ro,1651556259,1651556706.0,447.0
8,zookeeper,1651556259,1651556618.0,359.0
9,grafana,1651558912,1651559336.0,424.0
9,kafka,1651558912,1651559265.0,353.0
