iteration,instance_start0,instance_started0,delta0,instance_start1,instance_started1,delta1
1,1663076035.3510001,1663076497.684,462.333,1663076499.359,1663076536.951,37.592
2,1663076782.1849999,1663077235.464,453.27900004386902,1663077240.944,1663077278.483,37.539
3,1663077523.507,1663077984.707,461.200,1663077987.3380001,1663078019.9159999,32.578
4,1663078264.743,1663078725.7030001,460.960,1663078728.5179999,1663078766.0669999,37.549
5,1663079010.9649999,1663079481.2579999,470.29299998283386,1663079485,1663079522.563,37.563
6,1663079767.4579999,1663080229.322,461.864,1663080231.277,1663080268.822,37.545
7,1663080513.8659999,1663080963.7149999,449.84899997711182,1663080967.579,1663081005.112,37.533
8,1663081250.204,1663081706.2449999,456.041,1663081708.9920001,1663081746.5409999,37.549
9,1663081991.582,1663082452.5899999,461.008,1663082455.375,1663082492.9089999,37.534
10,1663082737.924,1663083189.839,451.91499996185303,1663083191.734,1663083229.3039999,37.570
11,1663083474.352,1663083921.358,447.00600004196167,1663083923.122,1663083960.6070001,37.485
12,1663084205.6459999,1663084658.056,452.410,1663084659.4230001,1663084697.1730001,37.750
13,1663084941.9590001,1663085393.5469999,451.588,1663085395.72,1663085433.266,37.546000003814697
14,1663085678.211,1663086136.8659999,458.65499997138977,1663086142.0320001,1663086174.5599999,32.528
15,1663086419.4820001,1663086894.474,474.992,1663086898.5250001,1663086936.2620001,37.737
16,1663087180.9400001,1663087646.0439999,465.104,1663087649.882,1663087687.427,37.545
17,1663087932.3529999,1663088388.237,455.884,1663088391.244,1663088438.813,47.569
18,1663088683.7049999,1663089145.421,461.716,1663089147.506,1663089185.2520001,37.746
19,1663089429.9349999,1663089890.862,460.92700004577637,1663089893.7780001,1663089926.3959999,32.618
20,1663090171.7460001,1663090628.7409999,456.995,1663090630.5650001,1663090668.1459999,37.581
21,1663090913.02,1663091370.1689999,457.149,1663091371.937,1663091409.5280001,37.591
22,1663091654.7720001,1663092105.7119999,450.940,1663092108.572,1663092146.1159999,37.544
23,1663092391.2190001,1663092845.1789999,453.960,1663092850.256,1663092887.8169999,37.561
24,1663093132.9460001,1663093592.0929999,459.147,1663093596.8,1663093634.3900001,37.590
25,1663093879.1270001,1663094334.707,455.580,1663094337.937,1663094380.477,42.540
26,1663094625.5190001,1663095089.7179999,464.199,1663095094.6070001,1663095132.135,37.528
27,1663095377.1819999,1663095911.674,534.492,1663095916.4749999,1663095949.0569999,32.582
28,1663096193.835,1663096649.7219999,455.887,1663096652.635,1663096685.401,32.766
29,1663096930.135,1663097413.6619999,483.52699995040894,1663097419.1270001,1663097456.7609999,37.634
30,1663097701.5550001,1663098152.7309999,451.176,1663098155.599,1663098188.1719999,32.573
,,,,,,
,,,461.336,,,37.086
,,,2.8838663536029845,,,0.55247125396729979
,,,,,,
,,,,,,
,,,,,,
,,,,,,
